Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2017-09-23 09:24PM,2017-09-24 06:46AM,551,10,,561,,,
2017-09-22 10:25PM,2017-09-23 07:19AM,516,17,,533,,,
2017-09-21 09:57PM,2017-09-22 06:17AM,458,42,,500,,,
2017-09-20 10:06PM,2017-09-21 06:18AM,469,21,,492,,,
2017-09-19 10:52PM,2017-09-20 06:05AM,371,62,,433,,,
2017-09-18 10:13PM,2017-09-19 06:33AM,477,23,,500,,,
2017-09-17 09:43PM,2017-09-18 06:23AM,465,55,,520,,,
2017-09-15 10:07PM,2017-09-16 06:25AM,470,28,,498,,,
2017-09-15 12:57AM,2017-09-15 06:18AM,308,12,,320,,,
2017-09-14 10:27PM,2017-09-14 11:46PM,74,5,,79,,,
2017-09-13 10:25PM,2017-09-14 06:41AM,427,69,,496,,,
2017-09-12 10:28PM,2017-09-13 06:36AM,452,36,,488,,,
2017-09-11 10:02PM,2017-09-12 06:13AM,469,18,,491,,,
2017-09-10 10:32PM,2017-09-11 06:14AM,428,34,,462,,,
2017-09-09 10:36PM,2017-09-10 06:58AM,480,21,,501,,,
2017-09-08 11:23PM,2017-09-09 06:40AM,397,37,,436,,,
2017-09-07 10:36PM,2017-09-08 06:35AM,434,44,,478,,,
2017-09-07 05:22AM,2017-09-07 07:03AM,90,11,,101,,,
2017-09-06 10:20PM,2017-09-07 03:06AM,276,10,,286,,,
2017-09-05 11:05PM,2017-09-06 07:03AM,445,33,,478,,,
2017-09-04 11:23PM,2017-09-05 06:49AM,384,62,,446,,,
2017-11-03 11:37PM,2017-11-04 06:57AM,431,8,,440,,,
2017-11-02 10:58PM,2017-11-03 06:38AM,438,18,,459,,,
2017-11-01 10:23PM,2017-11-02 06:16AM,436,29,,473,,,
2017-10-30 09:55PM,2017-10-31 06:39AM,509,15,,524,,,
2017-10-29 10:32PM,2017-10-30 06:32AM,468,12,,480,,,
2017-10-28 09:45PM,2017-10-29 07:03AM,525,33,,558,,,
2017-10-27 09:36PM,2017-10-28 07:29AM,544,44,,593,,,
2017-10-26 09:26PM,2017-10-27 06:42AM,507,44,,556,,,
2017-10-25 09:35PM,2017-10-26 06:41AM,482,63,,545,,,
2017-10-24 10:48PM,2017-10-25 06:25AM,450,7,,457,,,
2017-10-23 09:51PM,2017-10-24 06:36AM,506,19,,525,,,
2017-10-23 09:19AM,2017-10-23 11:01AM,87,15,,102,,,
2017-10-22 07:39PM,2017-10-23 06:28AM,595,50,,649,,,
2017-10-21 09:40PM,2017-10-22 06:23AM,504,19,,523,,,
2017-10-20 10:13PM,2017-10-21 06:54AM,457,39,,521,,,
2017-10-19 10:14PM,2017-10-20 06:39AM,456,48,,505,,,
2017-10-18 09:56PM,2017-10-19 06:53AM,484,52,,536,,,
2017-10-17 09:59PM,2017-10-18 06:38AM,504,15,,519,,,
2017-10-16 10:03PM,2017-10-17 06:34AM,487,24,,511,,,
2017-10-15 10:53PM,2017-10-16 06:59AM,471,15,,486,,,
2017-10-15 02:25PM,2017-10-15 04:03PM,94,4,,98,,,
2017-10-14 10:54PM,2017-10-15 06:56AM,454,28,,482,,,
2017-10-13 09:46PM,2017-10-14 07:03AM,523,34,,557,,,
2017-10-12 10:31PM,2017-10-13 06:51AM,458,42,,500,,,
2017-10-11 10:28PM,2017-10-12 06:24AM,442,34,,476,,,
2017-10-10 11:13PM,2017-10-11 06:37AM,412,32,,444,,,
2017-10-09 10:05PM,2017-10-10 06:58AM,486,47,,533,,,
2017-10-08 09:36PM,2017-10-09 06:39AM,499,44,,543,,,
2017-10-07 09:50PM,2017-10-08 06:40AM,487,42,,529,,,
2017-10-06 11:02PM,2017-10-07 06:46AM,444,20,,464,,,
2017-10-05 09:44PM,2017-10-06 06:45AM,499,41,,540,,,
2017-10-04 10:32PM,2017-10-05 06:31AM,419,60,,479,,,
2017-12-03 10:44PM,2017-12-04 06:13AM,428,21,,449,,,
2017-12-02 11:04PM,2017-12-03 07:21AM,452,34,,496,,,
2017-12-02 12:22AM,2017-12-02 07:55AM,410,43,,453,,,
2017-11-30 10:06PM,2017-12-01 06:30AM,442,62,,504,,,
2017-11-29 10:03PM,2017-11-30 06:27AM,475,23,,504,,,
2017-11-28 10:08PM,2017-11-29 06:37AM,480,29,,509,,,
2017-11-27 10:33PM,2017-11-28 06:39AM,433,53,,486,,,
2017-11-26 10:08PM,2017-11-27 06:14AM,457,29,,486,,,
2017-11-25 10:13PM,2017-11-26 07:14AM,498,43,,541,,,
2017-11-24 11:06PM,2017-11-25 06:54AM,424,44,,468,,,
2017-11-23 11:07PM,2017-11-24 07:17AM,467,23,,490,,,
2017-11-22 10:47PM,2017-11-23 06:35AM,444,23,,467,,,
2017-11-21 10:05PM,2017-11-22 06:44AM,477,42,,519,,,
2017-11-20 11:52PM,2017-11-21 06:34AM,374,24,,402,,,
2017-11-19 10:14PM,2017-11-20 07:12AM,503,34,,537,,,
2017-11-19 12:41PM,2017-11-19 02:50PM,115,13,,128,,,
2017-11-18 10:53PM,2017-11-19 05:31AM,387,10,,398,,,
2017-11-18 12:28AM,2017-11-18 06:01AM,324,8,,333,,,
2017-11-16 09:51PM,2017-11-17 06:45AM,468,66,,534,,,
2017-11-15 10:45PM,2017-11-16 05:54AM,414,15,,429,,,
2017-11-13 10:10PM,2017-11-14 06:24AM,485,9,,494,,,
2017-11-12 09:47PM,2017-11-13 06:26AM,497,22,,519,,,
2017-11-11 10:36PM,2017-11-12 06:36AM,459,21,,480,,,
2017-11-09 10:56PM,2017-11-10 05:50AM,382,29,,414,,,
2017-11-08 09:46PM,2017-11-09 06:28AM,509,12,,521,,,
2017-11-07 10:16PM,2017-11-08 06:28AM,479,8,,492,,,
2017-11-06 09:34PM,2017-11-07 06:09AM,450,65,,515,,,
2017-11-05 10:20PM,2017-11-06 06:07AM,410,57,,467,,,
2017-11-04 10:51PM,2017-11-05 06:45AM,427,47,,474,,,
2017-11-03 11:37PM,2017-11-04 06:57AM,431,8,,440,,,
2018-01-02 10:33PM,2018-01-03 06:44AM,438,50,,491,,,
